Zadajte pocet replikacii
1001
PocetPracovnikov1        PocetPracovnikov2       Sg1PriemernyCasCakania  Sg2PrimernyPocet        Sg3PriemernyCasVServise         Sg4PriemernyCasOpravy      Sg5PriemernySysteme     Sg11PrimernyPocetNaKonciDna     IS_NaZadanieObjednavkyMin         IS_NaZadanieObjednavkyMax       IS_NaOpravyMin  IS_NaOpravyMax     IS_VSystemeMin  IS_VSystemeMax

1        16      10344,9118912428        34,4339780202053        10653,7537632689        7305,88401062512        14611,7680212502        69,8806777777777   10337,666203536         10352,1575789495        7298,91214762731        7312,8558  7362293    10330,9681652472    10358,8556172384
1        17      10346,0872739822        34,4144965159979        10654,9493393317        7307,93346824221        14615,8669364844        69,8122888888889   10338,6625242511        10353,5120237134        7300,55457154516        7315,3123  6493927    10331,3294805881    10360,8450673763
1        18      10343,411228115         34,4176564239858        10652,1572885443        7300,53018734354        14601,0603746871        69,8444333333334   10336,0000333236        10350,8224229064        7293,08525514153        7307,9751  1954554    10328,521363711     10358,301092519
1        19      10352,0454563168        34,4181865022765        10660,6554468736        7314,58147718712        14629,1629543742        69,8580111111111   10344,4118460632        10359,6790665703        7307,07470046056        7322,0882  5391368    10337,0319028636    10367,0590097699
1        20      10337,1809046119        34,4060881016312        10645,9332971269        7308,08526580563        14616,1705316113        69,8619222222222   10329,8345111817        10344,5272980421        7300,94413286519        7315,2263  9874608    10322,898638731     10351,4631704928
          1      21      10350,0599252033        34,4025026802803        10658,7950114066        7304,52635772322        14609,0527154464        69,8386666666667        10342,5698523073        10357,5499980993  7297,36815004195      7311  ,68456540449     10335,7435098408        10364,3763405658
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              1        22      10346,1311715635        34,4164464865141        10654,8331018702        7312,573202935  14625,14640587  69,8482444444445        10338,7890048624        10353,4733382645        7305,1982050054         7319,9482008646
 10331,3811757043        10360,8811674227
1        23      10349,7092865001        34,4513812166293        10658,4220881831        7311,73131749046        14623,4626349809        69,8604333333334        10342,5289207638        10356,8896522365        7304,43736926034        7319,02526572059       10335,1213900399        10364,2971829604
1        24      10340,7638066899        34,4080589587863        10649,5120783776        7310,12298215839        14620,2459643168        69,8473666666667        10333,5236800048        10348,003933375         7302,84696301308        7317,3990013037        10326,2117683993        10355,3158449805
1        25      10346,0203984841        34,4036885514518        10654,7174972164        7316,08126261777        14632,1625252355        69,8183222222223        10338,8575216379        10353,1832753303        7308,95172986249        7323,21079537306       10331,7613329735        10360,2794639947
1        26      10341,4860414832        34,3813831504866        10650,192435135         7306,64128971691        14613,2825794338        69,8058888888889        10334,242722274         10348,7293606925        7299,55708668645        7313,72549274737       10327,3176354223        10355,6544475441
